Team A,W-A,Team B,W-B
<@723638398312513586>,-,<@881970825111154718>,-
<@723638398312513586>,0,<@566387736609685514>,2
<@723638398312513586>,2,<@690644525177110561>,0
<@866339429273305098>,-,<@881970825111154718>,-
<@866339429273305098>,-,<@566387736609685514>,-
<@866339429273305098>,2,<@690644525177110561>,0
<@689986226929139764>,1,<@881970825111154718>,2
<@689986226929139764>,-,<@566387736609685514>,-
<@689986226929139764>,-,<@690644525177110561>,-
