Team A,W-A,Team B,W-B
<@225045824923500546>,2,<@723638398312513586>,1
<@225045824923500546>,-,<@866339429273305098>,-
<@516145113076858900>,2,<@723638398312513586>,0
<@516145113076858900>,1,<@866339429273305098>,2
